# col1_1 col2_1     col3_1      col4_1 col5_1 col6_1 col7_1 col1_2 col3_2     col4_2      col5_2 col6_2 col7_2 col8       col9       col10    col11       col12      col13     col14       col15      col16    col17     col18      col19    col20     col21      col22    col23    col24     col25   col26    col27      col28    col29    col30     col31   col32    col33      col34   col35    col36      col37    col38   col39      col40    col41   col42     col43   col44   col45     col46    col47   col48     col49   col50   col51     col52   col53   col54    col55    col56   col57    col58   col59    col60      col61   col62      col63 col64  col65  col66 col67 col68  col69  col70 col71 col72 col73   Separation          
  25     53.0779152 -27.8219452 1.04   11.83  0.0    9769   9769   53.0778696 -27.8222028 28.62  0      0.02   0.194536   0.0195877  110737.0 0.218713    0.00798159 0.0286563 0.29575     0.0328016  6666.63  0.718238  0.0268774  5367.05  2.03596   0.0509152  6919.08  2.43515  0.0280946 20049.4 3.98983  0.0622288  19392.1  -99.0    -99.0     0.0     5.56156  0.0368485  8157.01 8.07284  0.0276751  10637.2  11.7119 0.0329959  11072.8  22.593  0.110432  180.15  22.5015 0.0474699 110.47   44.2208 0.0613877 4188.46 37.0621 0.0733196 1664.37 29.7838 0.28916  442019.0 30.3688 0.303382 49856.2 11.5178  0.0324492  11.7119 0.0371821  17.65 7.912  6.9    3.5   4.487 8.146  13.213 -77.9 1.017 0     1573.0  0.9386558271333905  
  26     53.0862503 -27.7480564 0.97   11.52  0.0    19443  19443  53.0863255 -27.7482609 28.6   0      0.0    1.48622    0.0244442  111705.0 1.52        0.0137852  0.0392416 1.79094     0.0557645  7229.53  3.95323   0.0404183  7135.67  9.50495   0.0700381  10556.4  10.8723  0.0732408 9920.64 15.1034  0.0916135  25634.8  16.5614  0.0808182 6573.92 -99.0    -99.0      0.0     24.8808  0.045524   7961.62  31.2244 0.0549932  8276.85  47.0779 0.177905  218.319 48.2847 0.0847353 99.8957  68.689  0.0795482 2837.85 52.3307 0.0505576 4092.99 42.7205 0.408356 253616.0 33.4491 0.438603 27719.4 30.8305  0.0542994  31.2244 0.0618588  23.56 13.841 10.318 3.5   7.293 14.086 22.426 41.9  1.013 0     4124.0  0.7742046265506323  
  27     53.1744995 -27.8788891 1.75   12.1   0.38   3654   3654   53.1744296 -27.8791516 28.03  0      0.0    0.804569   0.0196606  114524.0 0.792028    0.010726   0.0303236 1.14377     0.041956   6955.89  1.58332   0.0207112  11992.9  2.32667   0.0540056  7257.1   2.61171  0.0472646 7797.94 3.13138  0.054296   23696.0  -99.0    -99.0     0.0     4.5734   0.0773976  2556.79 6.62843  0.0488395  3303.18  8.07091 0.0600781  3480.23  10.3731 0.157958  120.444 -99.0   -99.0     0.0      20.9571 0.114736  1101.52 24.2674 0.0965659 907.373 23.6813 0.394369 220000.0 18.0151 0.397293 26270.0 7.21217  0.0536859  8.07091 0.0843014  27.9  8.799  7.497  4.25  5.418 9.858  17.778 47.7  1.119 0     1467.0  0.9708253358651404  
  29     53.0938759 -27.7605553 2.08   12.12  0.31   17744  17744  53.0940154 -27.7608845 28.54  0      0.0    0.0181634  0.0148961  116495.0 0.0179145   0.00401597 0.035519  0.0598821   0.016673   7159.3   0.0784139 0.0129142  6414.88  0.149702  0.020479   9653.88  0.140496 0.013494  20775.6 0.198689 0.023506   23094.1  -99.0    -99.0     0.0     0.331489 0.0146554  8485.78 0.601281 0.01537    8779.74  1.07375 0.0186427  9272.34  2.27694 0.089386  216.362 2.29158 0.0227716 310.726  5.82607 0.11176   1364.3  8.62151 0.0684673 2048.8  11.8296 0.378105 255860.0 9.25607 0.406157 29284.3 0.974476 0.0169191  1.07375 0.0243457  27.83 6.161  3.489  3.52  3.753 6.283  9.635  39.8  1.102 0     396.0   1.2657006512661872  
  3      53.0360832 -27.7928886 0.55   11.39  1.0    13729  13729  53.0360913 -27.7928825 28.59  0      0.47   38.5874    0.0161132  116411.0 39.6866     0.0558963  0.0338772 48.5097     0.136323   11491.4  64.9335   0.0825853  9906.09  118.51    0.135855   15962.2  151.574  0.165399  13005.5 144.917  0.227847   24484.8  -99.0    -99.0     0.0     192.575  0.148668   8489.0  195.204  0.0857308  9932.06  238.876 0.0966995  10554.8  -99.0   -99.0     0.0     297.87  0.032363  161.634  511.329 0.122024  1356.84 596.646 0.103551  1405.68 801.222 0.375504 276960.0 1074.13 0.4039   28044.3 250.337  0.101339   238.876 0.0727296  3.62  12.047 10.041 3.5   1.691 4.054  12.419 7.1   0.954 0     12321.0 0.0338774086149906  
  30     53.182415  -27.8752785 1.62   11.85  0.0    4049   4049   53.1824463 -27.8753162 27.73  0      0.0    0.24282    0.0225563  115214.0 0.267308    0.00997069 0.0249078 0.404151    0.0347735  6643.3   0.460477  0.0178835  11523.3  0.81787   0.0466804  6983.46  0.98955  0.0404995 7683.17 1.26076  0.0446107  23854.3  -99.0    -99.0     0.0     2.57528  0.0684737  2610.74 4.115    0.0778017  1258.36  6.57469 0.0761675  1886.68  10.9236 0.167425  115.832 -99.0   -99.0     0.0      28.4715 0.12155   1085.07 34.8572 0.104767  839.915 30.8945 0.411704 217843.0 24.3867 0.412677 25820.4 5.75996  0.0667289  6.57469 0.107056   22.39 13.238 4.681  4.21  5.194 11.163 21.371 -35.9 1.141 0     1232.0  0.1683483322920824  
  31     53.0250015 -27.7519436 1.07   11.78  0.0    18821  18821  53.0249167 -27.7520588 28.35  0      0.0    0.579115   0.0200463  114139.0 0.548753    0.00903908 0.0407233 0.58578     0.0243681  13523.9  1.26802   0.0199984  10458.6  2.98685   0.0391216  12446.5  3.57021  0.0471404 8098.46 5.24202  0.0525972  29597.7  5.76112  0.0558528 5072.3  -99.0    -99.0      0.0     9.87769  0.0351446  5009.28  13.0118 0.0434294  4943.01  23.659  0.108885  225.684 -99.0   -99.0     0.0      44.5766 0.0981975 3367.06 38.2918 0.0695878 3697.47 31.1007 0.592008 190773.0 37.4236 0.62508  21880.6 12.4265  0.0414757  13.0118 0.0476264  18.63 9.076  5.78   3.5   4.327 8.482  13.668 -20.8 1.047 0     1495.0  0.49495585491397054 
  33     53.0976257 -27.7152786 2.14   12.29  0.95   23845  23845  53.0976489 -27.7152834 28.33  0      0.03   0.224586   0.01576    116783.0 0.267786    0.00708775 0.0304883 0.190047    0.0219569  5969.42  0.310362  0.0136664  7910.09  0.442463  0.0286827  6758.14  0.467928 0.0279859 6746.08 0.643354 0.0337881  15313.6  0.735678 0.0310018 4810.28 -99.0    -99.0      0.0     1.96186  0.0207299  4865.78  3.84655 0.0260372  4896.15  6.71063 0.184973  50.0808 -99.0   -99.0     0.0      11.9346 0.0679316 2567.82 14.451  0.0427612 3684.41 16.7661 0.330574 246882.0 16.1304 0.364572 26952.7 3.77702  0.0255665  3.84655 0.028931   5.82  4.702  4.025  3.5   1.911 3.943  7.244  -11.3 1.018 0     565.0   0.07593012993610729 
  34     53.1624985 -27.7388897 1.93   11.95  0.46   20510  20510  53.1626255 -27.7390151 28.46  0      0.0    0.819271   0.0310519  114422.0 0.747814    0.0150567  0.0262346 1.27045     0.0658678  6022.97  1.74275   0.0367449  8668.91  2.39488   0.0458332  20430.6  3.09868  0.0578208 12616.3 3.32691  0.080154   22970.2  -99.0    -99.0     0.0     4.84094  0.0496509  8518.92 8.51935  0.0547557  7466.49  12.7189 0.0658334  8415.24  21.3146 0.258155  130.108 19.974  0.0603778 167.11   39.1589 0.142261  1027.05 46.2404 0.0943151 1353.72 47.946  0.455889 249127.0 28.964  0.489831 28094.2 10.7836  0.055816   12.7189 0.0790189  6.66  14.577 11.171 3.74  5.741 16.164 32.654 74.4  1.179 0     3594.0  0.6062554531345479  
  35     53.1791649 -27.7805557 1.04   11.79  0.0    15336  15336  53.1790841 -27.780538  30.15  0      0.03   0.00681054 0.00494858 113845.0 -7.93123E-4 4.28035E-4 0.0248238 0.0174507   0.00740062 136406.0 0.176076  0.00482624 142731.0 0.722041  0.00579145 354422.0 0.868936 0.0400515 12183.7 1.61452  0.0111132  344440.0 -99.0    -99.0     0.0     2.52512  0.0110114  72891.4 4.12201  0.00859285 102304.0 6.51846 0.00888048 154139.0 16.517  0.103074  205.22  15.8491 0.0353374 137.413  32.3094 0.121574  1613.62 26.9571 0.0952181 1496.29 20.9271 0.334302 429428.0 22.6255 0.360223 47358.4 6.56628  0.00894562 6.51846 0.00774286 9.66  7.418  5.494  3.5   2.705 5.38   9.727  12.5  0.993 0     2127.0  0.2651240921170531  
